,
一日三秋,喻思念之殷切。
一片冰心,讚美他人心境高潔清明。
一丘之貉,喻臭味相投的人。
一唱三嘆,文詞感情豐富，婉轉纏綿。
一手遮天,玩弄權術，瞞上欺下。
人一己百,喻己不敏當百倍努力以赴。
十行俱下,謂閱讀之敏速。
八面玲瓏,為人世故圓滑，面面俱到。
七竅生煙,憤怒至極。
小時了了,年紀幼小時很聰明。
口碑載道,到處都是頌讚的聲音。
千里鵝毛,禮輕而情意重。
尸位素餐,佔據著職位，只拿薪水而不做事。
大快朵頤,吃得很痛快。
口誅筆伐,用言語和文字揭發別人的罪惡。
丈二金剛,茫無頭緒，莫名其妙。
不落窠臼,不落俗套，有獨到之處。
不脛而走,不用宣傳，便能迅速傳播。
五日京兆,言不久即離職的官員。
文恬武嬉,文武官員只知享樂，不知努力國事。
引錐刺股,讀書異常勤奮。
文過飾非,不願認錯，掩飾過失。
月暈而風,將要來臨之事必有預兆。
木人石心,不受外物利誘而動心。
公私蝟集,非常繁忙，公事私事都集在一身。
牛鼎烹雞,大才小用。
以鄰為壑,嫁禍於人。
白雲蒼狗,喻世途多變人事不常。
可操左券,很有把握。
失之交臂,當面錯過機會。
瓜田李下,謂處於嫌疑之地位。
目不見睫,人不能自見其缺點過失。
牝雞司晨,謂婦人當權用事。
扣槃捫燭,認識不夠而生誤會。
亦步亦趨,處處模仿他人。
交淺言深,謂朋友之交誼尚未深，而所談已及親密之事。
名山事業,著作之事。
好行小慧,喜好賣弄小聰明。
老驥伏櫪,喻年老而有壯志。
曲突徙薪,喻防患於未然。
吐哺握髮,言求賢之殷切。
扞格不入,彼此相互牴觸，不能相容。
投鼠忌器,喻行事有所顧忌。
投鞭斷流,喻軍隊之眾多。
吳下阿蒙,譏人沒有學問。
沐猴而冠,意謂徒具衣冠，而無人的本質。
怙惡不悛,一意作惡，不知悔改。
弄璋之喜,賀人生男之語。
兵不血刃,軍隊未交戰就取得勝利。
克紹箕裘,能繼承先人之事業。
含沙射影,喻暗中陷害他人。
束之高閣,廢置而不用。
志學之年,十五歲。
每下愈況,情況越來越糟。
判若雲泥,相差十分懸殊。
兔死狗烹,喻事畢見棄也。
杯弓蛇影,喻疑假作真，自相驚擾。
東施效顰,喻不善仿反增其醜。
杳如黃鶴,比喻一去無蹤。
邯鄲學步,效法他人未成而反失己固有。
狗尾續貂,喻後繼者不如前者。
刻舟求劍,迂腐不知變通。
詰屈聱牙,文章艱澀難讀。
河清海宴,喻時世昇平也。
和光同塵,深藏不露，混同流俗。
信口雌黃,喻不顧事實隨便亂說話。
蜚短流長,無中生有，造謠生事。
恆河沙數,數量多得難以計算。
春夢無痕,事情有如一場春夢，過後便了無痕跡。
急人之難,急切地幫助別人脫離困境。
胡天胡地,行為放肆，無法無天。
枵腹從公,餓著肚子替公家做事。
哀鴻遍野,喻災民流離失所，備受痛苦。
恬不為怪,面對不合理之事而安然不以為怪。
室如懸磬,生活貧苦。
故態復萌,重犯原來的老毛病。
胸無點墨,喻人毫無學識。
海市蜃樓,形容虛幻不可靠之事。
師心自用,獨行己意剛愎任性。
宵衣旰食,勤於政事。
徒呼負負,無能為力，只能謂嘆。
涓滴歸公,涓滴之微也不私取，極為清廉之意。
為人作嫁,徒為他人辛勞。
浮光掠影,觀察不仔細，印象不深刻。
草菅人命,比喻不重視人命。
粉飾太平,表面裝飾一番，作成太平的樣子。
馬首是瞻,言服從領導之指揮。
蚍蜉撼樹,不自量力。
雪泥鴻爪,喻人生之聚散無常。
望文生義,按字面作牽強附會的解釋。
從心之年,七十歲。
動如參商,不能會面。
虛位以待,留下尊位，以待賢者或上客。
寅吃卯糧,入不敷出。
魚水相逢,君臣或夫婦相得之樂。
脣亡齒寒,喻休戚相關如脣齒之切近也。
欲蓋彌彰,欲掩其過，而過失更加顯著。
無下箸處,生活奢侈，菜餚豐富狀。
揚湯止沸,喻治標不治本。
越俎代庖,超越自己的職分，而做他人的工作。
煮豆燃萁,喻兄弟相殘。
集腋成裘,喻合眾人之力，方能做好的事。
買櫝還珠,取捨不當，輕重倒置。
無立錐地,喻人極其窮困。
唾手可得,表示極容易得到。
游目騁懷,放眼縱觀景色，令人心曠神怡。
期期艾艾,有口吃的人，說話不流利。
著作等身,著作甚多。
瑕瑜互見,美醜相較之下，立即見其差別。
罪不容誅,殺之不足以蔽其辜。
鉗口結舌,口才笨拙。
睚眥必報,雖是用眼睛瞪一眼的小仇小怨，也一定要報復。
鼓舌如簧,喻人花言巧語，刺刺不休。
滄海遺珠,喻有卓越之才能而未為人發掘任用。
運籌帷幄,籌畫兵事，主持戰略。
竭澤而漁,喻搾取苛刻，不留餘地。
禍福無門,福禍都是人自己招來。
嘗鼎一臠,根據一小部分可以推知整體。
圖窮匕見,形跡敗露。
蓬蓽生輝,謝人過訪之辭。
摩頂放踵,辛苦工作，不顧身體受傷。
暮鼓晨鐘,喻使人覺悟的言論。
頤指氣使,態度傲慢，指使他人。
龍蟠虎踞,地勢雄偉。
激濁揚清,去惡揚善。
轂擊肩摩,市況繁盛，車馬行人擁擠。
器小易盈,器量狹小之人容易志得意滿。
蕭牆之禍,發生在內部的禍患。
櫛風沐雨,奔波辛勞。
濫竽充數,無才能而居其位。
罄竹難書,喻罪惡多端，書寫不完。
趨炎附勢,小人阿附權貴。
舊雨重逢,遇到闊別多年的老友。
斷袖之癖,男同性戀。
韜光養晦,喻有才能的人，隱居不為世所用。
露宿風餐,行旅艱難困苦之狀。
鶼鰈情深,喻夫婦情誼之篤。
驢鳴狗吠,文章惡劣。
一日九遷,謂升遷之速也。
一孔之見,見識淺薄。
一言九鼎,說話很有分量。
一葉知秋,見微知著。
一時瑜亮,同時代兩個可以互相抗衡的傑出人才。
人面桃花,言與美人只見一面無再見之緣。
入木三分,言論深入中肯。
